position,grade
3728.28,1
4294.92375,1
4861.5675,1
5428.21125,1
5994.855,1
6561.49875,1
7128.1425,1
7694.78625,1
8261.43,1
8415.766,2
8570.102,1
8724.438,1
8878.774,1
9033.11,1
9085.55375,3
9137.9975,1
9190.44125,1
9242.885,1
9295.32875,1
9347.7725,1
9400.21625,1
9452.66,3
9808.155,4
10163.65,1
10519.145,1
10874.64,1
10888.86,2
10903.08,1
10917.3,1
11252.536,2
11587.772,1
11923.008,1
12258.244,1
12593.48,1
12928.716,1
13263.952,1
13599.188,1
13934.424,2
14269.66,1
14861.06429,2
15452.46857,1
16043.87286,1
16635.27714,1
17226.68143,1
17818.08571,1
18409.49,1
18819.89,3
19230.29,2
19640.69,1
20051.09,1
20461.49,1
20871.89,1
21282.29,1
21692.69,1
22103.09,1
22513.49,1
22923.89,1
23334.29,1
23744.69,1
23885.995,2
24027.3,1
24168.605,1
24309.91,2
24620.97,3
24932.03,2
25243.09,2
25554.15,3
25818.515,4
26082.88,4
26347.245,4
26611.61,2
26875.975,2
27140.34,1
27404.705,1
27669.07,1
27933.435,1
28197.8,1
28329.25214,4
28460.70429,2
28592.15643,1
28723.60857,1
28855.06071,1
28986.51286,1
29117.965,1
29249.41714,1
29380.86929,1
29512.32143,1
29643.77357,1
29775.22571,1
29906.67786,1
30038.13,1
30386.80286,3
30735.47571,2
31084.14857,1
31432.82143,1
31781.49429,1
32130.16714,1
32478.84,1
32828.88667,4
33178.93333,1
33528.98,1
33879.02667,1
34229.07333,1
34579.12,3
35421.72,3
36404.57,3
36795.19143,4
37185.81286,3
37576.43429,2
37967.05571,1
38357.67714,1
38748.29857,1
39138.92,1
39273.957,2
39408.994,1
39544.031,1
39679.068,1
39814.105,1
39949.142,1
40084.179,1
40219.216,1
40354.253,1
40489.29,1
41030.98125,2
41572.6725,1
42114.36375,1
42656.055,1
43197.74625,1
43739.4375,1
44281.12875,1
44822.82,1
45096.72,3
45370.62,2
45644.52,1
45918.42,2
46293.855,3
46669.29,1
46989.04542,3
47308.80083,2
47628.55625,1
47948.31167,1
48268.06708,1
48587.8225,1
48907.57792,1
49227.33333,1
49547.08875,1
49866.84417,1
50186.59958,1
50506.355,1
50826.11042,1
51145.86583,1
51465.62125,1
51785.37667,1
52105.13208,1
52424.8875,1
52744.64292,1
53064.39833,1
53384.15375,1
53703.90917,1
54023.66458,1
54343.42,1
54613.56286,3
54883.70571,1
55153.84857,1
55423.99143,1
55694.13429,1
55964.27714,1
56234.42,1
50600,1
57000,1